x,112,116,120,124,128,132,APAR_111.1,APAR_112.2,APAR_113.3,APAR_114.4,APAR_115.5,APAR_116.6,APAR_117.7,APAR_118.8,APAR_119.9,APAR_120.10,APAR_121.11,APAR_122.12,APAR_123.13,APAR_124.14,APAR_125.15,APAR_126.16,APAR_127.17,APAR_128.18,APAR_129.19,FIF_104.4,FIF_105.5,FIF_106.6,APAR_19.19,APAR_20.20
2019-01-12--05:09:24,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.6,61.1,91.4,42.6,43.1,46.5,61.9,35.1,38.1,38.6,49.2,41.2,51.2,63.0,40.5,56.8,70.3,24.000000,26.000000,23.000000,56.3,82.6
2019-01-12--05:13:00,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.6,61.1,91.4,42.6,43.1,46.5,61.9,35.1,38.1,38.6,49.2,41.2,51.2,63.0,40.5,56.8,70.3,24.000000,26.000000,23.000000,56.3,82.6
2019-01-12--05:16:36,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.6,61.1,91.4,42.6,43.1,46.5,61.9,35.1,38.1,38.6,49.2,41.2,51.2,63.0,40.5,56.8,70.3,24.000000,26.000000,23.000000,56.6,82.6
2019-01-12--05:20:12,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.6,61.1,91.4,42.6,43.1,46.5,61.9,35.1,38.1,38.6,49.2,41.2,51.2,63.0,40.5,56.8,70.3,24.000000,26.000000,23.000000,56.6,82.6
2019-01-12--05:23:48,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.6,61.1,91.4,42.6,43.1,46.5,61.9,35.1,38.1,38.6,49.2,41.2,51.2,63.0,40.5,56.8,70.3,24.000000,26.000000,23.000000,56.6,82.6
2019-01-12--05:27:24,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.6,61.1,91.4,42.6,43.1,46.5,61.9,35.1,38.1,38.6,49.2,41.2,51.2,63.0,40.5,56.8,70.3,24.000000,26.000000,23.000000,56.6,82.6
2019-01-12--05:31:00,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.6,61.1,91.4,42.6,43.1,46.5,61.9,35.0,38.1,38.6,49.2,41.2,51.2,63.0,40.5,56.8,70.2,24.000000,26.000000,23.000000,56.8,82.6
2019-01-12--05:34:36,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.6,61.1,91.4,42.6,43.1,46.5,61.9,35.0,38.1,38.6,49.2,41.2,51.2,63.0,40.5,56.8,70.2,24.000000,26.000000,23.000000,56.8,82.6
2019-01-12--05:38:12,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.6,61.1,91.4,42.6,43.1,46.5,61.9,35.0,38.1,38.6,49.2,41.2,51.2,63.0,40.5,56.8,70.2,24.000000,26.000000,23.000000,56.8,82.6
2019-01-12--05:41:48,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.6,61.1,91.4,42.6,43.1,46.5,61.9,35.0,38.1,38.6,49.2,41.2,51.2,63.0,40.5,56.8,70.2,24.000000,26.000000,23.000000,56.8,82.6
2019-01-12--05:45:24,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.7,61.1,91.5,42.6,43.1,46.5,61.9,35.1,38.1,38.6,49.2,41.2,51.2,63.0,40.6,56.8,70.2,24.000000,26.000000,23.000000,56.8,82.6
2019-01-12--05:49:00,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.7,61.1,91.5,42.6,43.1,46.5,61.9,35.1,38.1,38.6,49.2,41.2,51.2,63.0,40.6,56.8,70.2,24.000000,26.000000,23.000000,56.9,82.7
2019-01-12--05:52:36,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.7,61.1,91.5,42.6,43.1,46.5,61.9,35.1,38.1,38.6,49.2,41.2,51.2,63.0,40.6,56.8,70.2,24.000000,26.000000,23.000000,56.9,82.7
2019-01-12--05:56:12,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.7,61.1,91.5,42.6,43.1,46.5,61.9,35.1,38.1,38.6,49.2,41.2,51.2,63.0,40.6,56.8,70.2,24.000000,26.000000,23.000000,56.9,82.7
2019-01-12--05:59:48,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.7,61.1,91.5,42.6,43.1,46.5,61.9,35.1,38.1,38.6,49.2,41.2,51.2,63.0,40.6,56.8,70.2,24.000000,26.000000,23.000000,56.9,82.7
2019-01-12--06:03:24,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.7,61.0,91.5,42.6,43.1,46.5,61.8,35.1,38.1,38.7,49.2,41.2,51.2,63.0,40.6,56.8,70.2,24.000000,26.000000,23.000000,57.1,82.7
2019-01-12--06:07:00,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.7,61.0,91.5,42.6,43.1,46.5,61.8,35.1,38.1,38.7,49.2,41.2,51.2,63.0,40.6,56.8,70.2,24.000000,26.000000,23.000000,57.1,82.7
