x,216,220,224,228,232,236,240,244,248,APAR_213.1,APAR_214.2,APAR_215.3,APAR_216.4,APAR_217.5,APAR_218.6,APAR_219.7,APAR_220.8,APAR_221.9,APAR_222.10,APAR_223.11,APAR_224.12,APAR_225.13,APAR_226.14,APAR_227.15,APAR_228.16,APAR_229.17,APAR_230.18,APAR_231.19,FIF_203.3,FIF_204.4,FIF_205.5,FIF_206.6,FIF_207.7,APAR_16.16,APAR_17.17,APAR_18.18
2019-01-12--04:40:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.5,53.6,25.1,27.6,31.1,41.5,53.9,30.0,32.4,43.5,33.4,45.0,53.7,27.9,38.5,55.7,27.000000,28.000000,23.000000,27.000000,24.000000,45.3,100.0,37.7
2019-01-12--04:44:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.5,53.6,25.1,27.6,31.1,41.5,53.9,30.0,32.4,43.5,33.4,45.0,53.7,27.9,38.5,55.7,27.000000,28.000000,23.000000,27.000000,24.000000,45.3,100.0,37.7
2019-01-12--04:47:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.1,40.5,53.6,25.2,27.6,31.1,41.5,53.9,30.0,32.4,43.5,33.4,45.0,53.6,27.9,38.5,55.7,27.000000,28.000000,23.000000,27.000000,24.000000,44.9,100.0,37.7
2019-01-12--04:51:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.1,40.5,53.6,25.2,27.6,31.1,41.5,53.9,30.0,32.4,43.5,33.4,45.0,53.6,27.9,38.5,55.7,27.000000,28.000000,23.000000,27.000000,24.000000,44.9,100.0,37.7
2019-01-12--04:55:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.1,40.5,53.6,25.2,27.6,31.1,41.5,53.9,30.0,32.4,43.5,33.4,45.0,53.6,27.9,38.5,55.7,27.000000,28.000000,23.000000,27.000000,24.000000,44.9,100.0,37.7
2019-01-12--04:58:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.1,40.5,53.6,25.2,27.6,31.1,41.5,53.9,30.0,32.4,43.5,33.4,45.0,53.6,27.9,38.5,55.7,27.000000,28.000000,23.000000,27.000000,24.000000,44.9,100.0,37.7
2019-01-12--05:02:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.1,40.5,53.6,25.2,27.6,31.2,41.5,53.9,29.9,32.4,43.5,33.4,45.0,53.6,27.9,38.5,55.7,27.000000,28.000000,23.000000,27.000000,24.000000,44.9,100.0,37.7
2019-01-12--05:05:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.1,40.5,53.6,25.2,27.6,31.2,41.5,53.9,29.9,32.4,43.5,33.4,45.0,53.6,27.9,38.5,55.7,27.000000,28.000000,23.000000,27.000000,24.000000,44.9,100.0,37.7
2019-01-12--05:09:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.1,40.5,53.6,25.2,27.6,31.2,41.5,53.9,29.9,32.4,43.5,33.4,45.0,53.6,27.9,38.5,55.7,27.000000,28.000000,23.000000,27.000000,24.000000,44.9,100.0,37.7
2019-01-12--05:13:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.1,40.5,53.6,25.2,27.6,31.2,41.5,53.9,29.9,32.4,43.5,33.4,45.0,53.6,27.9,38.5,55.7,27.000000,28.000000,23.000000,27.000000,24.000000,44.9,100.0,37.7
