x,217,221,225,229,233,237,241,245,249,APAR_213.1,APAR_214.2,APAR_215.3,APAR_216.4,APAR_217.5,APAR_218.6,APAR_219.7,APAR_220.8,APAR_221.9,APAR_222.10,APAR_223.11,APAR_224.12,APAR_225.13,APAR_226.14,APAR_227.15,APAR_228.16,APAR_229.17,APAR_230.18,APAR_231.19,FIF_203.3,FIF_204.4,FIF_205.5,FIF_206.6,FIF_207.7,APAR_16.16,APAR_17.17,APAR_18.18
2019-01-12--03:03:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.6,11.6,6.8,18.5,17.4,15.2,10.4,5.4,29.0,24.5,20.7,26.7,21.3,17.7,26.1,18.6,10.2,22.7,25.9,24.2,24.5,23.4,8.3,10.9,13.8
2019-01-12--03:07:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.6,11.6,6.8,18.5,17.4,15.2,10.4,5.4,29.0,24.5,20.7,26.7,21.3,17.7,26.1,18.6,10.2,22.7,25.9,24.2,24.5,23.4,8.3,10.9,13.8
2019-01-12--03:10:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.6,11.6,6.8,18.5,17.4,15.2,10.4,5.4,29.0,24.5,20.7,26.7,21.3,17.7,26.1,18.6,10.2,22.7,25.9,24.2,24.5,23.4,8.3,10.9,13.8
2019-01-12--03:14:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.6,11.6,6.8,18.5,17.4,15.2,10.4,5.4,29.0,24.5,20.7,26.7,21.3,17.7,26.1,18.6,10.2,22.7,25.9,24.2,24.5,23.4,8.3,10.9,13.8
2019-01-12--03:17:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.6,11.6,6.9,18.5,17.4,15.2,10.4,5.4,28.9,24.5,20.7,26.7,21.3,17.6,26.1,18.6,10.2,22.8,25.9,24.2,24.5,23.4,8.4,10.9,13.8
2019-01-12--03:21:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.6,11.6,6.9,18.5,17.4,15.2,10.4,5.4,28.9,24.5,20.7,26.7,21.3,17.6,26.1,18.6,10.2,22.8,25.9,24.2,24.5,23.4,8.4,10.9,13.8
2019-01-12--03:25:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.6,11.6,6.9,18.5,17.4,15.2,10.4,5.4,28.9,24.5,20.7,26.7,21.3,17.6,26.1,18.6,10.2,22.8,25.9,24.2,24.5,23.4,8.4,10.9,13.8
2019-01-12--03:28:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.6,11.6,6.9,18.5,17.4,15.2,10.4,5.4,28.9,24.5,20.7,26.7,21.3,17.6,26.1,18.6,10.2,22.8,25.9,24.2,24.5,23.4,8.4,10.9,13.8
2019-01-12--03:32:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.6,11.6,6.9,18.5,17.4,15.2,10.4,5.5,28.9,24.5,20.7,26.7,21.3,17.6,26.1,18.6,10.2,22.8,26.0,24.2,24.5,23.4,8.4,10.9,13.8
2019-01-12--03:35:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.6,11.6,6.9,18.5,17.4,15.2,10.4,5.5,28.9,24.5,20.7,26.7,21.3,17.6,26.1,18.6,10.2,22.8,26.0,24.2,24.5,23.4,8.4,10.9,13.8
