x,APAR_411.11,APAR_412.12,APAR_413.13,APAR_414.14,APAR_415.15,APAR_416.16,APAR_417.17,APAR_418.18,APAR_419.19,APAR_420.20,APAR_421.21,APAR_422.22,APAR_423.23,APAR_424.24,APAR_425.25,FIF_402.2,FIF_403.3,FIF_404.4,FIF_405.5,FIF_406.6
2019-01-12--04:44:12,20.1,19.7,17.4,11.3,7.3,19.5,18.8,17.1,11.2,4.8,18.8,18.1,16.8,5.4,-0.5,23.2,27.2,23.5,22.7,24.2
2019-01-12--04:47:48,20.1,19.8,17.4,11.4,7.4,19.5,18.8,17.1,11.3,4.9,18.8,18.2,16.9,5.5,-0.5,23.2,27.1,23.5,22.7,24.2
2019-01-12--04:51:24,20.1,19.8,17.4,11.4,7.4,19.5,18.8,17.1,11.3,4.9,18.8,18.2,16.9,5.5,-0.5,23.2,27.1,23.5,22.7,24.2
2019-01-12--04:55:00,20.1,19.8,17.4,11.4,7.4,19.5,18.8,17.1,11.3,4.9,18.8,18.2,16.9,5.5,-0.5,23.2,27.1,23.5,22.7,24.2
2019-01-12--04:58:36,20.1,19.8,17.4,11.4,7.4,19.5,18.8,17.1,11.3,4.9,18.8,18.2,16.9,5.5,-0.5,23.2,27.1,23.5,22.7,24.2
2019-01-12--05:02:12,20.1,19.8,17.4,11.4,7.4,19.5,18.8,17.1,11.3,4.9,18.8,18.2,16.9,5.5,-0.6,23.2,27.1,23.5,22.7,24.2
2019-01-12--05:05:48,20.1,19.8,17.4,11.4,7.4,19.5,18.8,17.1,11.3,4.9,18.8,18.2,16.9,5.5,-0.6,23.2,27.1,23.5,22.7,24.2
2019-01-12--05:09:24,20.1,19.8,17.4,11.4,7.4,19.5,18.8,17.1,11.3,4.9,18.8,18.2,16.9,5.5,-0.6,23.2,27.1,23.5,22.7,24.2
2019-01-12--05:13:00,20.1,19.8,17.4,11.4,7.4,19.5,18.8,17.1,11.3,4.9,18.8,18.2,16.9,5.5,-0.6,23.2,27.1,23.5,22.7,24.2
2019-01-12--05:16:36,20.1,19.8,17.4,11.4,7.5,19.5,18.9,17.1,11.3,5.0,18.8,18.2,16.9,5.6,-0.6,23.2,27.1,23.5,22.7,24.1
2019-01-12--05:20:12,20.1,19.8,17.4,11.4,7.5,19.5,18.9,17.1,11.3,5.0,18.8,18.2,16.9,5.6,-0.6,23.2,27.1,23.5,22.7,24.1
