x,APAR_511.11,APAR_512.12,APAR_513.13,APAR_514.14,APAR_515.15,APAR_516.16,APAR_517.17,APAR_518.18,APAR_519.19,APAR_520.20,APAR_521.21,APAR_522.22,APAR_523.23,FIF_504.4,FIF_505.5,FIF_506.6
2019-01-12--09:35:48,20.9,20.7,14.2,8.8,4.0,20.2,19.9,17.5,14.9,22.1,21.7,18.6,15.7,26.5,25.1,26.9
2019-01-12--09:39:24,20.9,20.7,14.2,8.8,4.0,20.2,19.9,17.5,14.9,22.1,21.7,18.6,15.7,26.5,25.1,26.9
2019-01-12--09:43:00,20.9,20.7,14.2,8.8,4.0,20.2,19.9,17.5,14.9,22.1,21.7,18.6,15.7,26.5,25.1,26.9
2019-01-12--09:46:36,21.0,20.8,14.2,8.8,4.1,20.2,19.9,17.5,14.9,22.1,21.7,18.7,15.7,26.5,25.1,26.9
2019-01-12--09:50:12,21.0,20.8,14.2,8.8,4.1,20.2,19.9,17.5,14.9,22.1,21.7,18.7,15.7,26.5,25.1,26.9
2019-01-12--09:53:48,21.0,20.8,14.2,8.8,4.1,20.2,19.9,17.5,14.9,22.1,21.7,18.7,15.7,26.5,25.1,26.9
2019-01-12--09:57:24,21.0,20.8,14.2,8.8,4.1,20.2,19.9,17.5,14.9,22.1,21.7,18.7,15.7,26.5,25.1,26.9
2019-01-12--10:01:00,21.0,20.8,14.3,8.9,4.2,20.2,20.0,17.5,14.9,22.1,21.8,18.7,15.7,26.6,25.1,26.9
2019-01-12--10:04:36,21.0,20.8,14.3,8.9,4.2,20.2,20.0,17.5,14.9,22.1,21.8,18.7,15.7,26.6,25.1,26.9
2019-01-12--10:08:12,21.0,20.8,14.3,8.9,4.2,20.2,20.0,17.5,14.9,22.1,21.8,18.7,15.7,26.6,25.1,26.9
2019-01-12--10:11:48,21.0,20.8,14.3,8.9,4.2,20.2,20.0,17.5,14.9,22.1,21.8,18.7,15.7,26.6,25.1,26.9
2019-01-12--10:15:24,21.0,20.8,14.3,9.0,4.3,20.2,20.0,17.6,15.0,22.1,21.8,18.7,15.8,26.5,25.1,27.0
2019-01-12--10:19:00,21.0,20.8,14.3,9.0,4.3,20.2,20.0,17.6,15.0,22.1,21.8,18.7,15.8,26.5,25.1,27.0
2019-01-12--10:22:36,21.0,20.8,14.3,9.0,4.3,20.2,20.0,17.6,15.0,22.1,21.8,18.7,15.8,26.5,25.1,27.0
2019-01-12--10:26:12,21.0,20.8,14.3,9.0,4.3,20.2,20.0,17.6,15.0,22.1,21.8,18.7,15.8,26.5,25.1,27.0
2019-01-12--10:29:48,21.0,20.8,14.3,9.0,4.3,20.2,20.0,17.6,15.0,22.1,21.8,18.7,15.8,26.5,25.1,27.0
2019-01-12--10:33:24,21.0,20.8,14.4,9.1,4.4,20.2,20.0,17.6,15.0,22.2,21.8,18.7,15.8,26.6,25.1,27.1
2019-01-12--10:37:00,21.0,20.8,14.4,9.1,4.4,20.2,20.0,17.6,15.0,22.2,21.8,18.7,15.8,26.6,25.1,27.1
2019-01-12--10:40:36,21.0,20.8,14.4,9.1,4.4,20.2,20.0,17.6,15.0,22.2,21.8,18.7,15.8,26.6,25.1,27.1
