x,APAR_411.11,APAR_412.12,APAR_413.13,APAR_414.14,APAR_415.15,APAR_416.16,APAR_417.17,APAR_418.18,APAR_419.19,APAR_420.20,APAR_421.21,APAR_422.22,APAR_423.23,APAR_424.24,APAR_425.25,FIF_402.2,FIF_403.3,FIF_404.4,FIF_405.5,FIF_406.6
2019-01-10--07:25:12,20.2,19.9,17.7,11.8,7.3,19.6,19.1,17.5,11.9,4.8,18.9,18.4,17.0,4.0,-7.3,22.8,27.0,23.1,22.5,24.1
2019-01-10--07:28:48,20.2,19.9,17.7,11.8,7.3,19.6,19.1,17.5,11.9,4.8,18.9,18.4,17.0,4.0,-7.3,22.8,27.0,23.1,22.5,24.1
2019-01-10--07:32:24,20.2,19.9,17.7,11.8,7.3,19.6,19.1,17.5,11.8,4.8,18.9,18.4,17.0,3.9,-7.3,22.8,26.9,23.1,22.5,24.1
2019-01-10--07:36:00,20.2,19.9,17.7,11.8,7.3,19.6,19.1,17.5,11.8,4.8,18.9,18.4,17.0,3.9,-7.3,22.8,26.9,23.1,22.5,24.1
2019-01-10--07:39:36,20.2,19.9,17.7,11.8,7.3,19.6,19.1,17.5,11.8,4.8,18.9,18.4,17.0,3.9,-7.3,22.8,26.9,23.1,22.5,24.1
2019-01-10--07:43:12,20.2,19.9,17.7,11.8,7.3,19.6,19.1,17.5,11.8,4.8,18.9,18.4,17.0,3.9,-7.3,22.8,26.9,23.1,22.5,24.1
2019-01-10--07:46:48,20.2,19.9,17.7,11.7,7.3,19.6,19.1,17.5,11.8,4.8,18.9,18.4,16.9,3.9,-7.4,22.8,27.0,23.1,22.5,24.1
2019-01-10--07:50:24,20.2,19.9,17.7,11.7,7.3,19.6,19.1,17.5,11.8,4.8,18.9,18.4,16.9,3.9,-7.4,22.8,27.0,23.1,22.5,24.1
2019-01-10--07:54:00,20.2,19.9,17.7,11.7,7.3,19.6,19.1,17.5,11.8,4.8,18.9,18.4,16.9,3.9,-7.4,22.8,27.0,23.1,22.5,24.1
2019-01-10--07:57:36,20.2,19.9,17.7,11.7,7.3,19.6,19.1,17.5,11.8,4.8,18.9,18.4,16.9,3.9,-7.4,22.8,27.0,23.1,22.5,24.1
2019-01-10--08:01:12,20.2,19.9,17.7,11.7,7.3,19.6,19.1,17.5,11.8,4.7,18.9,18.4,16.9,3.9,-7.4,22.8,27.1,23.2,22.6,24.2
2019-01-10--08:04:48,20.2,19.9,17.7,11.7,7.3,19.6,19.1,17.5,11.8,4.7,18.9,18.4,16.9,3.9,-7.4,22.8,27.1,23.2,22.6,24.2
2019-01-10--08:08:24,20.2,19.9,17.7,11.7,7.3,19.6,19.1,17.5,11.8,4.7,18.9,18.4,16.9,3.9,-7.4,22.8,27.1,23.2,22.6,24.2
2019-01-10--08:12:00,20.2,19.9,17.7,11.7,7.3,19.6,19.1,17.5,11.8,4.7,18.9,18.4,16.9,3.9,-7.4,22.8,27.1,23.2,22.6,24.2
2019-01-10--08:15:36,20.2,19.9,17.7,11.7,7.2,19.6,19.1,17.4,11.8,4.7,18.9,18.3,16.9,3.8,-7.4,22.8,27.1,23.2,22.6,24.2
2019-01-10--08:19:12,20.2,19.9,17.7,11.7,7.2,19.6,19.1,17.4,11.8,4.7,18.9,18.3,16.9,3.8,-7.4,22.9,27.1,23.2,22.6,24.2
2019-01-10--08:22:48,20.2,19.9,17.7,11.7,7.2,19.6,19.1,17.4,11.8,4.7,18.9,18.3,16.9,3.8,-7.4,22.9,27.1,23.2,22.6,24.2
2019-01-10--08:26:24,20.2,19.9,17.7,11.7,7.2,19.6,19.1,17.4,11.8,4.7,18.9,18.3,16.9,3.8,-7.4,22.9,27.1,23.2,22.6,24.2
2019-01-10--08:30:00,20.2,19.9,17.7,11.7,7.2,19.6,19.1,17.4,11.8,4.7,18.9,18.3,16.9,3.8,-7.4,22.9,27.1,23.2,22.6,24.2
2019-01-10--08:33:36,20.2,19.9,17.7,11.7,7.2,19.6,19.1,17.4,11.8,4.7,18.9,18.3,16.9,3.8,-7.4,22.9,27.0,23.2,22.7,24.2
2019-01-10--08:37:12,20.2,19.9,17.7,11.7,7.2,19.6,19.1,17.4,11.8,4.7,18.9,18.3,16.9,3.8,-7.4,22.9,27.0,23.2,22.7,24.2
2019-01-10--08:40:48,20.2,19.9,17.7,11.7,7.2,19.6,19.1,17.4,11.8,4.7,18.9,18.3,16.9,3.8,-7.4,22.9,27.0,23.2,22.7,24.2
2019-01-10--08:44:24,20.2,19.9,17.7,11.7,7.2,19.6,19.1,17.4,11.8,4.7,18.9,18.3,16.9,3.8,-7.4,22.9,27.0,23.2,22.7,24.2
2019-01-10--08:48:00,20.2,19.9,17.7,11.7,7.2,19.6,19.1,17.4,11.8,4.7,18.8,18.3,16.9,3.8,-7.4,22.9,26.9,23.2,22.7,24.2
2019-01-10--08:51:36,20.2,19.9,17.7,11.7,7.2,19.6,19.1,17.4,11.8,4.7,18.8,18.3,16.9,3.8,-7.4,22.9,26.9,23.2,22.7,24.2
2019-01-10--08:55:12,20.2,19.9,17.7,11.7,7.2,19.6,19.1,17.4,11.8,4.7,18.8,18.3,16.9,3.8,-7.4,22.9,26.9,23.2,22.7,24.2
2019-01-10--08:58:48,20.2,19.9,17.7,11.7,7.2,19.6,19.1,17.4,11.8,4.7,18.8,18.3,16.9,3.8,-7.4,22.9,26.9,23.2,22.7,24.2
2019-01-10--09:02:24,20.2,19.9,17.7,11.6,7.2,19.6,19.1,17.4,11.7,4.6,18.8,18.3,16.9,3.7,-7.5,22.8,26.9,23.2,22.7,24.2
2019-01-10--09:06:00,20.2,19.9,17.7,11.6,7.2,19.6,19.1,17.4,11.7,4.6,18.8,18.3,16.9,3.7,-7.5,22.8,26.9,23.2,22.7,24.2
2019-01-10--09:09:36,20.2,19.9,17.7,11.6,7.2,19.6,19.1,17.4,11.7,4.6,18.8,18.3,16.9,3.7,-7.5,22.8,26.9,23.2,22.7,24.2
2019-01-10--09:13:12,20.2,19.9,17.7,11.6,7.2,19.6,19.1,17.4,11.7,4.6,18.8,18.3,16.9,3.7,-7.5,22.8,26.9,23.2,22.7,24.2
2019-01-10--09:16:48,20.2,19.9,17.7,11.6,7.2,19.6,19.1,17.4,11.7,4.6,18.8,18.3,16.9,3.7,-7.5,22.9,27.0,23.2,22.7,24.2
