('0 RG', 'Temperatura') {'x': 1546837765000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '9.1', 'APAR_32.3': '7.5', 'APAR_33.4': '6553.3', 'APAR_34.5': '6545.8'}
('0 RG', 'Temperatura') {'x': 1546837981000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.5', 'APAR_33.4': '6553.3', 'APAR_34.5': '6545.7'}
('0 RG', 'Temperatura') {'x': 1546838197000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.5', 'APAR_33.4': '6553.3', 'APAR_34.5': '6545.7'}
('0 RG', 'Temperatura') {'x': 1546838413000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.5', 'APAR_33.4': '6553.2', 'APAR_34.5': '6545.6'}
('0 RG', 'Temperatura') {'x': 1546838629000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.5', 'APAR_33.4': '6553.2', 'APAR_34.5': '6545.6'}
('0 RG', 'Temperatura') {'x': 1546838845000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.5', 'APAR_33.4': '6553.2', 'APAR_34.5': '6545.6'}
('0 RG', 'Temperatura') {'x': 1546839061000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.5', 'APAR_33.4': '6553.2', 'APAR_34.5': '6545.5'}
('0 RG', 'Temperatura') {'x': 1546839277000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.5', 'APAR_33.4': '6553.2', 'APAR_34.5': '6545.5'}
('0 RG', 'Temperatura') {'x': 1546839493000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.4', 'APAR_33.4': '6553.1', 'APAR_34.5': '6545.5'}
('0 RG', 'Temperatura') {'x': 1546839709000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.4', 'APAR_33.4': '6553.1', 'APAR_34.5': '6545.4'}
('0 RG', 'Temperatura') {'x': 1546839925000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.4', 'APAR_33.4': '6553.1', 'APAR_34.5': '6545.4'}
('0 RG', 'Temperatura') {'x': 1546840141000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.4', 'APAR_33.4': '6553.1', 'APAR_34.5': '6545.4'}
('0 RG', 'Temperatura') {'x': 1546840357000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '8.9', 'APAR_32.3': '7.4', 'APAR_33.4': '6553.0', 'APAR_34.5': '6545.3'}
('0 RG', 'Temperatura') {'x': 1546840573000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.4', 'APAR_33.4': '6553.0', 'APAR_34.5': '6545.3'}
('0 RG', 'Temperatura') {'x': 1546840789000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.4', 'APAR_33.4': '6553.0', 'APAR_34.5': '6545.3'}
('0 RG', 'Temperatura') {'x': 1546841005000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '8.9', 'APAR_32.3': '7.3', 'APAR_33.4': '6553.0', 'APAR_34.5': '6545.3'}
('0 RG', 'Temperatura') {'x': 1546841221000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.3', 'APAR_33.4': '6552.9', 'APAR_34.5': '6545.3'}
('0 RG', 'Temperatura') {'x': 1546841437000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.3', 'APAR_33.4': '6552.9', 'APAR_34.5': '6545.2'}
('0 RG', 'Temperatura') {'x': 1546841653000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.3', 'APAR_33.4': '6552.9', 'APAR_34.5': '6545.2'}
('0 RG', 'Temperatura') {'x': 1546841869000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.3', 'APAR_33.4': '6552.9', 'APAR_34.5': '6545.2'}
('0 RG', 'Temperatura') {'x': 1546842085000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.3', 'APAR_33.4': '6552.9', 'APAR_34.5': '6545.2'}
('0 RG', 'Temperatura') {'x': 1546842301000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.3', 'APAR_33.4': '6552.9', 'APAR_34.5': '6545.2'}
('0 RG', 'Temperatura') {'x': 1546842517000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.3', 'APAR_33.4': '6552.8', 'APAR_34.5': '6545.2'}
