id,plcid,title,addr,variable,category,type,value_format,measureUnits,precision_digits,time_duration,priority,order_id,timeformat,modbusAddr,dictid,min_allowed_value,max_allowed_value,normal_color,disabled_color,warning_color,alert_color,has_normal,has_disabled,has_warning,has_alert,save_graph_data,graph_color,save_to_log,delay,disabled
88,19,Wilgotnosc wzgledna,HR6,,,2,1,%RH,1,0,0,1,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#0066b3,0,0,0
89,19,Temperatura,HR7,,,2,1,°C,1,0,0,2,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#aa55a1,0,0,0
90,19,Wilgotnosc bezwgledna,HR8,,,2,1,g/m3,1,0,0,3,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fff450,0,0,0
91,19,Punkt rosy/szronu,HR9,,,2,1,°C,1,0,0,4,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fcb540,0,0,0
92,20,Wilgotnosc wzgledna,HR6,,,2,1,%RH,1,0,0,1,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#0066b3,0,0,0
93,20,Temperatura,HR7,,,2,1,°C,1,0,0,2,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#aa55a1,0,0,0
94,20,Wilgotnosc bezwgledna,HR8,,,2,1,g/m3,1,0,0,3,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fff450,0,0,0
95,20,Punkt rosy/szronu,HR9,,,2,1,°C,1,0,0,4,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fcb540,0,0,0
96,21,Wilgotnosc wzgledna,HR6,,,2,1,%RH,1,0,0,1,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#0066b3,0,0,0
97,21,Temperatura,HR7,,,2,1,°C,1,0,0,2,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#aa55a1,0,0,0
98,21,Wilgotnosc bezwgledna,HR8,,,2,1,g/m3,1,0,0,3,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fff450,0,0,0
99,21,Punkt rosy/szronu,HR9,,,2,1,°C,1,0,0,4,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fcb540,0,0,0
100,22,Wilgotnosc wzgledna,HR6,,,2,1,%RH,1,0,0,1,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#0066b3,0,0,0
101,22,Temperatura,HR7,,,2,1,°C,1,0,0,2,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#aa55a1,0,0,0
102,22,Wilgotnosc bezwgledna,HR8,,,2,1,g/m3,1,0,0,3,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fff450,0,0,0
103,22,Punkt rosy/szronu,HR9,,,2,1,°C,1,0,0,4,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fcb540,0,0,0
