x,APAR_411.11,APAR_412.12,APAR_413.13,APAR_414.14,APAR_415.15,APAR_416.16,APAR_417.17,APAR_418.18,APAR_419.19,APAR_420.20,APAR_421.21,APAR_422.22,APAR_423.23,APAR_424.24,APAR_425.25,FIF_402.2,FIF_403.3,FIF_404.4,FIF_405.5,FIF_406.6
2019-01-15--08:45:24,21.2,20.9,19.1,14.0,10.4,20.0,19.5,18.1,13.3,7.8,19.9,19.5,18.3,7.9,0.1,23.9,28.1,24.2,23.0,25.0
2019-01-15--08:49:00,21.2,20.9,19.1,14.0,10.4,20.0,19.5,18.1,13.3,7.8,19.9,19.5,18.3,7.9,0.1,23.9,28.1,24.2,23.0,25.0
2019-01-15--08:52:36,21.2,20.9,19.1,14.0,10.4,20.0,19.5,18.1,13.3,7.8,19.9,19.5,18.3,7.9,0.1,23.9,28.1,24.2,23.0,25.0
2019-01-15--08:56:12,21.2,20.9,19.1,14.0,10.4,20.0,19.5,18.1,13.3,7.8,19.9,19.5,18.3,7.9,0.1,23.9,28.1,24.2,23.0,25.0
2019-01-15--08:59:48,21.2,20.9,19.1,14.0,10.4,20.0,19.5,18.1,13.3,7.8,19.9,19.5,18.3,7.9,0.1,23.9,28.1,24.2,23.0,25.0
2019-01-15--09:03:24,21.3,20.9,19.1,14.0,10.4,20.0,19.5,18.1,13.3,7.8,19.9,19.5,18.3,7.9,0.1,24.0,27.9,24.3,23.1,25.1
2019-01-15--09:07:00,21.3,20.9,19.1,14.0,10.4,20.0,19.5,18.1,13.3,7.8,19.9,19.5,18.3,7.9,0.1,24.0,27.9,24.3,23.1,25.1
2019-01-15--09:10:36,21.3,20.9,19.1,14.0,10.4,20.0,19.5,18.1,13.3,7.8,19.9,19.5,18.3,7.9,0.1,24.0,27.9,24.3,23.1,25.1
2019-01-15--09:14:12,21.3,20.9,19.1,14.0,10.4,20.0,19.5,18.1,13.3,7.8,19.9,19.5,18.3,7.9,0.1,24.0,27.9,24.3,23.1,25.1
2019-01-15--09:17:48,21.3,20.9,19.1,14.0,10.4,20.0,19.5,18.0,13.3,7.8,19.9,19.5,18.3,7.9,0.1,24.2,27.8,24.3,23.1,25.3
2019-01-15--09:21:24,21.3,20.9,19.1,14.0,10.4,20.0,19.5,18.0,13.3,7.8,19.9,19.5,18.3,7.9,0.1,24.2,27.8,24.3,23.1,25.3
