x,217,221,225,229,233,237,241,245,249,APAR_213.1,APAR_214.2,APAR_215.3,APAR_216.4,APAR_217.5,APAR_218.6,APAR_219.7,APAR_220.8,APAR_221.9,APAR_222.10,APAR_223.11,APAR_224.12,APAR_225.13,APAR_226.14,APAR_227.15,APAR_228.16,APAR_229.17,APAR_230.18,APAR_231.19,FIF_203.3,FIF_204.4,FIF_205.5,FIF_206.6,FIF_207.7,APAR_16.16,APAR_17.17,APAR_18.18
2019-01-15--04:33:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.6,15.7,11.2,20.9,20.0,18.1,14.1,9.4,28.5,24.4,20.6,27.0,21.7,17.9,25.1,18.1,10.1,24.5,26.7,24.7,24.9,25.1,8.3,10.8,13.7
2019-01-15--04:37:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.6,15.7,11.2,20.9,20.0,18.1,14.1,9.4,28.5,24.4,20.6,27.0,21.7,17.9,25.1,18.1,10.1,24.5,26.7,24.7,24.9,25.1,8.3,10.8,13.7
2019-01-15--04:40:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.6,15.7,11.2,20.9,20.0,18.1,14.1,9.4,28.5,24.4,20.6,27.0,21.7,17.9,25.1,18.1,10.1,24.5,26.7,24.7,24.9,25.1,8.3,10.8,13.7
2019-01-15--04:44:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.6,15.7,11.2,20.9,20.0,18.1,14.1,9.4,28.5,24.4,20.6,27.0,21.7,17.9,25.1,18.1,10.1,24.5,26.7,24.7,24.9,25.1,8.3,10.8,13.7
2019-01-15--04:47:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.5,15.6,11.2,20.9,20.0,18.1,14.1,9.4,28.5,24.4,20.6,27.1,21.7,17.9,25.1,18.1,10.1,24.5,26.6,24.7,24.8,25.1,8.4,10.8,13.7
2019-01-15--04:51:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.5,15.6,11.2,20.9,20.0,18.1,14.1,9.4,28.5,24.4,20.6,27.1,21.7,17.9,25.1,18.1,10.1,24.5,26.6,24.7,24.8,25.1,8.4,10.8,13.7
2019-01-15--04:55:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.5,15.6,11.2,20.9,20.0,18.1,14.1,9.4,28.5,24.4,20.6,27.1,21.7,17.9,25.1,18.1,10.1,24.5,26.6,24.7,24.8,25.1,8.4,10.8,13.7
2019-01-15--04:58:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.5,15.6,11.2,20.9,20.0,18.1,14.1,9.4,28.5,24.4,20.6,27.1,21.7,17.9,25.1,18.1,10.1,24.5,26.6,24.7,24.8,25.1,8.4,10.8,13.7
2019-01-15--05:02:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.5,15.6,11.2,20.9,20.0,18.0,14.1,9.3,28.5,24.4,20.6,27.1,21.7,17.9,25.0,18.1,10.2,24.5,26.6,24.8,24.8,25.2,8.3,10.8,13.7
2019-01-15--05:05:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.5,15.6,11.2,20.9,20.0,18.0,14.1,9.3,28.5,24.4,20.6,27.1,21.7,17.9,25.0,18.1,10.2,24.5,26.6,24.8,24.8,25.2,8.3,10.8,13.7
2019-01-15--05:09:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.5,15.6,11.2,20.9,20.0,18.0,14.1,9.3,28.5,24.4,20.6,27.1,21.7,17.9,25.0,18.1,10.2,24.5,26.6,24.8,24.8,25.2,8.3,10.8,13.7
