x,APAR_511.11,APAR_512.12,APAR_513.13,APAR_514.14,APAR_515.15,APAR_516.16,APAR_517.17,APAR_518.18,APAR_519.19,APAR_520.20,APAR_521.21,APAR_522.22,APAR_523.23,FIF_504.4,FIF_505.5,FIF_506.6
2019-01-15--05:27:24,20.9,20.8,14.6,8.9,3.6,20.8,20.6,18.8,16.5,22.1,21.9,19.7,17.2,26.0,24.2,25.8
2019-01-15--05:31:00,20.9,20.8,14.6,8.9,3.6,20.8,20.6,18.8,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.8
2019-01-15--05:34:36,20.9,20.8,14.6,8.9,3.6,20.8,20.6,18.8,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.8
2019-01-15--05:38:12,20.9,20.8,14.6,8.9,3.6,20.8,20.6,18.8,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.8
2019-01-15--05:41:48,20.9,20.8,14.6,8.9,3.6,20.8,20.6,18.8,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.8
2019-01-15--05:45:24,20.9,20.8,14.6,8.9,3.6,20.8,20.6,18.8,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.8
2019-01-15--05:49:00,20.9,20.8,14.6,8.8,3.6,20.8,20.6,18.8,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.9
2019-01-15--05:52:36,20.9,20.8,14.6,8.8,3.6,20.8,20.6,18.8,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.9
2019-01-15--05:56:12,20.9,20.8,14.6,8.8,3.6,20.8,20.6,18.8,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.9
2019-01-15--05:59:48,20.9,20.8,14.6,8.8,3.6,20.8,20.6,18.8,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.9
2019-01-15--06:03:24,20.9,20.8,14.6,8.8,3.6,20.8,20.6,18.7,16.5,22.1,21.9,19.7,17.2,26.0,24.2,25.8
2019-01-15--06:07:00,20.9,20.8,14.6,8.8,3.6,20.8,20.6,18.7,16.5,22.1,21.9,19.7,17.2,26.0,24.2,25.8
2019-01-15--06:10:36,20.9,20.8,14.6,8.8,3.6,20.8,20.6,18.7,16.5,22.1,21.9,19.7,17.2,26.0,24.2,25.8
2019-01-15--06:14:12,20.9,20.8,14.6,8.8,3.6,20.8,20.6,18.7,16.5,22.1,21.9,19.7,17.2,26.0,24.2,25.8
2019-01-15--06:17:48,20.9,20.8,14.5,8.8,3.6,20.8,20.6,18.7,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.8
2019-01-15--06:21:24,20.9,20.8,14.5,8.8,3.6,20.8,20.6,18.7,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.8
2019-01-15--06:25:00,20.9,20.8,14.5,8.8,3.6,20.8,20.6,18.7,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.8
