x,MBUSBmeters
2019-01-15--23:38:12,NaN
2019-01-15--23:41:48,NaN
2019-01-15--23:45:24,NaN
2019-01-15--23:49:00,NaN
2019-01-15--23:52:36,NaN
2019-01-15--23:56:12,NaN
2019-01-15--23:59:48,NaN
2019-01-16--00:03:24,NaN
2019-01-16--00:07:00,NaN
2019-01-16--00:10:36,NaN
2019-01-16--00:14:12,NaN
2019-01-16--00:17:48,NaN
2019-01-16--00:21:24,NaN
2019-01-16--00:25:00,NaN
2019-01-16--00:28:36,NaN
2019-01-16--00:32:12,NaN
2019-01-16--00:35:48,NaN
2019-01-16--00:39:24,NaN
2019-01-16--00:43:00,NaN
2019-01-16--00:46:36,NaN
2019-01-16--00:50:12,NaN
2019-01-16--00:53:48,NaN
2019-01-16--00:57:24,NaN
2019-01-16--01:01:00,NaN
2019-01-16--01:04:36,NaN
