x,648,APAR_30.1,APAR_31.2,APAR_32.3,APAR_33.4,APAR_34.5
2019-01-15--17:05:48,NaN,12.6,11.8,10.1,3.7,-0.2
2019-01-15--17:09:24,NaN,12.6,11.8,10.1,3.7,-0.2
2019-01-15--17:13:00,NaN,12.6,11.8,10.1,3.7,-0.2
2019-01-15--17:16:36,NaN,12.6,11.8,10.1,3.7,0.0
2019-01-15--17:20:12,NaN,12.6,11.8,10.1,3.7,0.0
2019-01-15--17:23:48,NaN,12.6,11.8,10.1,3.7,0.0
2019-01-15--17:27:24,NaN,12.6,11.8,10.1,3.7,0.0
2019-01-15--17:31:00,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--17:34:36,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--17:38:12,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--17:41:48,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--17:45:24,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--17:49:00,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--17:52:36,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--17:56:12,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--17:59:48,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--18:03:24,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--18:07:00,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--18:10:36,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--18:14:12,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--18:17:48,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--18:21:24,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--18:25:00,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--18:28:36,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--18:32:12,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--18:35:48,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--18:39:24,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--18:43:00,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--18:46:36,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--18:50:12,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--18:53:48,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--18:57:24,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--19:01:00,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--19:04:36,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--19:08:12,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--19:11:48,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--19:15:24,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--19:19:00,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--19:22:36,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--19:26:12,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--19:29:48,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--19:33:24,NaN,0.0,0.0,0.0,0.0,0.0
